iter	RMSE
0	14317.48428
1	12451.81895
2	10837.61697
3	9347.805828
4	8353.857887
5	7550.632694
6	6926.697707
7	6486.8579
8	6068.830729
9	5796.144044
10	5467.99742
11	5212.105445
12	5133.099963
13	4967.773774
14	4886.425475
15	4820.900022
16	4762.229424
17	4713.909681
18	4574.182257
19	4527.0906
20	4388.232626
21	4302.700663
22	4239.282425
23	4170.62389
24	4095.973459
25	4017.165065
26	3939.91859
27	3904.574012
28	3858.595653
29	3735.540785
30	3690.178129
31	3643.794312
32	3614.341533
33	3583.953461
34	3578.790604
35	3571.833778
36	3526.016473
37	3456.223534
38	3371.023947
39	3295.903017
40	3225.614782
41	3162.036337
42	3108.366361
43	3061.337344
44	3054.755829
45	3024.717551
46	2997.807045
47	2981.650989
48	2979.717748
49	2940.73367
50	2902.361494
51	2878.619639
52	2840.697515
53	2794.925504
54	2767.22538
55	2733.069779
56	2712.871179
57	2702.8305
58	2676.022566
59	2642.503717
60	2596.174802
61	2562.006847
62	2543.928818
63	2524.641343
64	2498.101848
65	2470.281065
66	2454.703951
67	2431.080186
68	2394.862504
69	2384.419883
70	2357.894563
71	2349.09605
72	2337.076861
73	2318.376278
74	2293.105547
75	2271.79689
76	2270.930352
77	2259.57236
78	2251.090248
79	2236.312701
80	2231.578774
81	2206.751365
82	2184.870013
83	2172.336476
84	2161.050062
85	2132.802145
86	2124.761414
87	2094.258189
88	2077.14996
89	2062.125805
90	2029.411216
91	2013.559199
92	2002.373303
93	1992.278943
94	1973.604489
95	1955.666141
96	1934.927604
97	1922.731977
98	1915.052483
99	1911.234729
