iter	Passed	Remaining
0	162	16114
1	164	8060
2	166	5387
3	168	4045
4	170	3230
5	172	2695
6	174	2323
7	177	2041
8	178	1809
9	180	1625
10	181	1472
11	183	1345
12	184	1236
13	186	1143
14	187	1063
15	188	990
16	189	925
17	190	868
18	191	816
19	192	770
20	193	728
21	194	689
22	195	654
23	196	623
24	199	598
25	201	572
26	202	547
27	204	525
28	205	503
29	206	482
30	208	463
31	209	445
32	210	427
33	212	411
34	214	397
35	215	382
36	216	367
37	217	354
38	218	341
39	219	329
40	220	317
41	221	306
42	223	295
43	224	285
44	225	276
45	226	266
46	228	257
47	229	248
48	230	239
49	231	231
50	232	223
51	233	215
52	234	208
53	236	201
54	237	194
55	239	188
56	240	181
57	241	174
58	242	168
59	244	162
60	245	156
61	246	151
62	247	145
63	248	139
64	249	134
65	250	129
66	251	124
67	253	119
68	253	114
69	254	109
70	255	104
71	256	99
72	258	95
73	259	91
74	259	86
75	260	82
76	261	78
77	262	74
78	263	70
79	264	66
80	265	62
81	267	58
82	268	54
83	269	51
84	270	47
85	271	44
86	272	40
87	273	37
88	274	33
89	275	30
90	276	27
91	277	24
92	278	20
93	279	17
94	280	14
95	281	11
96	282	8
97	283	5
98	284	2
99	286	0
